boss_id,header_background_hex_color,header_foreground_hex_color,checkbox_background_hex_color,checkbox_foreground_hex_color
e5b3ce1b-a059-4d4f-a770-280966075cb2,#eb34e8,#ebdb34,#9834eb,#eb8934
cb7a9e25-0773-49e7-84f4-d2a93c17d95a,#eb34e8,#ebdb34,#9834eb,#eb8934
6eb8dc79-b99b-49cb-83f3-89e283eff151,#eb34e8,#ebdb34,#9834eb,#eb8934
d0f890dd-9217-418b-be0d-2fe65f3a854a,#eb34e8,#ebdb34,#9834eb,#eb8934
6dab3d39-3a21-4df7-835e-e20e9c376e15,#eb34e8,#ebdb34,#9834eb,#eb8934
88729c59-a382-40bd-95b9-bc564fce68a3,#eb34e8,#ebdb34,#9834eb,#eb8934
853fe059-a952-4e87-a72e-37cf20866011,#eb34e8,#ebdb34,#9834eb,#eb8934
0c9c0843-8efd-4cf9-8ccb-45ea69dd0251,#eb34e8,#ebdb34,#9834eb,#eb8934
170eb0d5-fd18-4463-afa5-d39d5ed606db,#eb34e8,#ebdb34,#9834eb,#eb8934
9abd89e3-e9c8-4d93-8169-5c490777f364,#eb34e8,#ebdb34,#9834eb,#eb8934
be1f7872-b382-4019-a6ce-07c6f3f334ab,#eb34e8,#ebdb34,#9834eb,#eb8934
141100cd-76e5-4b5b-a259-9c0c7900bf8f,#eb34e8,#ebdb34,#9834eb,#eb8934
88a01e3e-762b-429d-a77e-1e0ffe7c05be,#eb34e8,#ebdb34,#9834eb,#eb8934
f83c7627-fbc1-499a-95af-0a8ec09f5375,#eb34e8,#ebdb34,#9834eb,#eb8934
bc55f082-20ad-40b2-a09a-838000414948,#eb34e8,#ebdb34,#9834eb,#eb8934
21654764-084f-4773-be44-45aebf4763b7,#eb34e8,#ebdb34,#9834eb,#eb8934
d6de9b61-e14e-4ca1-9ff2-1426cf951fa7,#eb34e8,#ebdb34,#9834eb,#eb8934
9813a110-4dbe-4aec-92ec-57076fe357f9,#eb34e8,#ebdb34,#9834eb,#eb8934
389d80b8-50b8-449b-98f5-0ea61b3081c8,#eb34e8,#ebdb34,#9834eb,#eb8934
20678cd7-ab44-484b-aca1-91d9716b3ead,#eb34e8,#ebdb34,#9834eb,#eb8934
cf6f5bca-8638-406a-8094-f4d6996e2cf3,#eb34e8,#ebdb34,#9834eb,#eb8934
3aff27b9-9890-4f67-b0c9-cf172ca902dc,#eb34e8,#ebdb34,#9834eb,#eb8934
52b800a6-2e94-44d0-99ed-4b08d838d54b,#eb34e8,#ebdb34,#9834eb,#eb8934
c16aac7f-e3f7-4148-bf01-cba18bc96e7d,#eb34e8,#ebdb34,#9834eb,#eb8934
8d46f75a-76ee-4bce-83d2-3f8ef473bc31,#eb34e8,#ebdb34,#9834eb,#eb8934
9ea76e60-89e0-4d97-bf23-992df3c580e3,#eb34e8,#ebdb34,#9834eb,#eb8934
1190b8cd-d7a4-4c2f-99b9-4582cda0cf47,#eb34e8,#ebdb34,#9834eb,#eb8934
74b00cce-9c70-4e14-88a9-332f78b0cd88,#eb34e8,#ebdb34,#9834eb,#eb8934
bf669fa7-7edc-41ae-98e6-d90ebae9bbd0,#eb34e8,#ebdb34,#9834eb,#eb8934
ef3b97c1-473c-4397-aee7-60f43d372f1b,#eb34e8,#ebdb34,#9834eb,#eb8934
8dc2b6a7-fcfe-489b-89ba-3e9228e63ff5,#eb34e8,#ebdb34,#9834eb,#eb8934
e74c0f4d-9253-4999-8cfa-2a68c4dbbb4d,#eb34e8,#ebdb34,#9834eb,#eb8934
9fcaa422-584b-4a87-8cde-2392e80bb2aa,#eb34e8,#ebdb34,#9834eb,#eb8934
523e4c3d-6ea4-43c4-b27a-7dfa84948158,#eb34e8,#ebdb34,#9834eb,#eb8934
54b6e8c0-8858-4c5c-b292-9c1d5c8e3f68,#eb34e8,#ebdb34,#9834eb,#eb8934
b139ef5f-96f6-44ee-9105-526bf81414ff,#eb34e8,#ebdb34,#9834eb,#eb8934
16eda797-51de-4e30-9309-9ba0ce6fc970,#eb34e8,#ebdb34,#9834eb,#eb8934
822cb56d-629a-4b7b-80f3-ebe24e063222,#4f007d,#ebe4e9,#e4b8ff,#ff0026
a0e9b4b5-fd40-4086-a4e0-c1268930f12b,#78d6eb,#000000,#a3eeff,#FF4FE2
7f9a60ae-6f8f-49a2-a810-e01999c5a9f7,#67aeeb,#000000,#92C1EB,#0500EB
ba511720-298e-46c9-b9e8-f53fbe5d5674,#00eb2b,#000000,#92eba2,#000000
bb87153d-d950-4254-8454-0cd51443af7f,#f37290,#000000,#b8a6eb,#3D00EB
fe8ba107-2abd-43a3-bcc2-62fa8108cdcf,#eb34e8,#ebdb34,#9834eb,#eb8934
b185cd2c-e4ef-4d23-a5ba-abf81be95ab7,#eb34e8,#ebdb34,#9834eb,#eb8934
a0f8d644-9dd2-4487-a833-731ee9b2760a,#eb34e8,#ebdb34,#9834eb,#eb8934
82f835d7-df5e-41f7-9032-7487bfe415e3,#eb34e8,#ebdb34,#9834eb,#eb8934
717d035e-a0e5-4550-86d5-8d81ff7a48dc,#eb34e8,#ebdb34,#9834eb,#eb8934
